path	sha256_12	lines	parse	claude_only_calls	absolute_or_shell	external_urls	quantified_claims
plugins/moai-seller/skills/commerce-detail-page-planner/SKILL.md	239b50a8c64b	24	frontmatter_ok	0	0	0	0
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-b2b-saas.md	fe60193cd1c6	191	text	0	0	0	8
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-baby-kids.md	c5115bb19bee	163	text	0	0	0	5
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-beauty.md	1841ebced25b	182	text	0	0	0	0
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-digital-content.md	ed1c084f0a78	211	text	0	0	0	7
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-fashion.md	99cdc427bd4d	144	text	0	0	0	2
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-food.md	2347130d80e4	159	text	0	0	0	0
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-luxury.md	29ea629a57a2	193	text	0	0	0	0
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-pet.md	08f26eacfa25	142	text	0	0	0	3
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-sports-leisure.md	9de8912c6b00	182	text	0	0	0	0
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-subscription.md	567e11a2705f	190	text	0	0	0	13
plugins/moai-seller/skills/commerce-detail-page-planner/references/category-travel.md	1d80a46785d7	213	text	0	0	0	10
plugins/moai-seller/skills/commerce-detail-page-planner/references/copy-patterns.md	b9c41f346d41	159	text	0	0	0	3
plugins/moai-seller/skills/commerce-detail-page-planner/references/photo-checklist.md	481174420ee8	197	text	0	0	0	1
plugins/moai-seller/skills/commerce-detail-page-planner/tests/test-cases.yaml	8ec1b3583c10	110	yaml_ok	1	0	0	0
plugins/moai-seller/skills/commerce-live-commerce/SKILL.md	618175774f53	170	frontmatter_ok	0	0	0	1
plugins/moai-seller/skills/commerce-live-commerce/references/coupang-live.md	5a28a1a8a1e4	82	text	0	0	1	0
plugins/moai-seller/skills/commerce-live-commerce/references/grip.md	3c339d367434	96	text	0	0	2	1
plugins/moai-seller/skills/commerce-live-commerce/references/kakao-shoppinglive.md	5dcabbb24b36	75	text	0	0	2	1
plugins/moai-seller/skills/commerce-live-commerce/references/live-script.md	cd82301bf24d	173	text	0	0	0	5
plugins/moai-seller/skills/commerce-live-commerce/references/naver-shoppinglive.md	7c723f3649df	122	text	0	0	3	4
plugins/moai-seller/skills/commerce-live-commerce/tests/test-cases.yaml	d19a7a98cd19	36	yaml_ok	0	0	0	0
plugins/moai-seller/skills/commerce-marketplace-coupang-ads/SKILL.md	c4c9097d50c4	173	frontmatter_ok	0	0	0	13
plugins/moai-seller/skills/commerce-marketplace-coupang/SKILL.md	800e3e9a5ed5	151	frontmatter_ok	0	0	1	0
plugins/moai-seller/skills/commerce-marketplace-coupang/references/coupang-guidelines.md	18d0ddf2e77c	138	text	0	0	0	4
plugins/moai-seller/skills/commerce-marketplace-coupang/tests/test-cases.yaml	32aba38e44b5	34	yaml_ok	0	0	0	0
plugins/moai-seller/skills/commerce-marketplace-crowdfunding/SKILL.md	daec3d557aca	207	frontmatter_ok	0	0	1	3
plugins/moai-seller/skills/commerce-marketplace-crowdfunding/references/tumblbug.md	ed3c2fe9b532	116	text	0	0	3	4
plugins/moai-seller/skills/commerce-marketplace-crowdfunding/references/wadiz.md	55541034e055	139	text	0	0	3	2
plugins/moai-seller/skills/commerce-marketplace-crowdfunding/tests/test-cases.yaml	ff02d0314437	36	yaml_ok	0	0	0	0
plugins/moai-seller/skills/commerce-marketplace-curation/SKILL.md	9c425715d5dc	179	frontmatter_ok	0	0	3	1
plugins/moai-seller/skills/commerce-marketplace-curation/references/29cm.md	814c51f8ef09	104	text	0	0	4	1
plugins/moai-seller/skills/commerce-marketplace-curation/references/kakao-makers.md	9a0446f0e302	95	text	0	0	3	3
plugins/moai-seller/skills/commerce-marketplace-curation/references/musinsa.md	1acb38a259d4	104	text	0	0	3	1
plugins/moai-seller/skills/commerce-marketplace-curation/tests/test-cases.yaml	3f81cd696afe	37	yaml_ok	0	0	0	1
plugins/moai-seller/skills/commerce-marketplace-d2c/SKILL.md	129a905f0667	177	frontmatter_ok	0	0	0	1
plugins/moai-seller/skills/commerce-marketplace-d2c/references/cafe24.md	dd082758ad72	108	text	0	0	6	4
plugins/moai-seller/skills/commerce-marketplace-d2c/references/d2c-strategy.md	2c22def494b0	121	text	0	0	0	17
plugins/moai-seller/skills/commerce-marketplace-d2c/references/imweb.md	52c0fdfe3260	98	text	0	0	3	2
plugins/moai-seller/skills/commerce-marketplace-d2c/tests/test-cases.yaml	8127ef2f377a	30	yaml_ok	0	0	0	0
plugins/moai-seller/skills/commerce-marketplace-naver-ads/SKILL.md	757894849078	164	frontmatter_ok	0	0	1	3
plugins/moai-seller/skills/commerce-marketplace-naver/SKILL.md	55f4bc62b941	125	frontmatter_ok	0	0	3	0
plugins/moai-seller/skills/commerce-marketplace-naver/references/naver-smartstore.md	7831e3a54edd	146	text	0	0	0	2
plugins/moai-seller/skills/commerce-marketplace-naver/references/openmarket-common.md	06ad3ec7946d	113	text	0	0	4	4
