path	sha256	lines	bytes	parse_result	risk_markers
plugins/moai-seller/.claude-plugin/plugin.json	2364becebe57808c5b0694f8263a2a780dd0d6e9736f4f26bcc484dab6ea538c	98	3619	json_parsed	-
plugins/moai-seller/.codex-plugin/plugin.json	8a39c7963fb971ebee34c7e67beb1e0066eaf798d75c0935f34b7fcd3f502edb	76	2437	json_parsed	desktop_host:1
plugins/moai-seller/.mcp.json	95f1a00fac79d87762c1a938696c3ac6d1a019cf5689a9d62ac5491fd198920f	64	3314	json_parsed	desktop_host:1
plugins/moai-seller/README.md	508ed185102e192b8dd93ffa2dfdbd4ca35da0e175c41d2d4a5c46c3e571b752	107	7668	text	desktop_host:2
plugins/moai-seller/agents/listing-builder.md	e6e2e451b1dbaf1ad16b307bffbeaed87beb15f4c0c762e05d561eef630e0af9	32	4329	frontmatter_parsed	-
plugins/moai-seller/agents/margin-auditor.md	1ea4ec768b7464d641ce7462b47c557f9f555b0b6270f49775720514ab4fb3cf	35	2687	frontmatter_parsed	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/README.md	392a456b5f61102497caacfad084b0134a355b5cde5804da09a46d2536c9add9	34	4028	text	desktop_host:5
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/pyproject.toml	355499b1a079a0b1f3b384e31a6054b5b4e8eb6c7994ab39af17ecbeea0cfdba	30	967	toml_parsed	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/src/moai_mcp_cafe24/__init__.py	5d9cad1667fcf9c0a78d1e4dc77da3cf65f28dfdc407920f2c484bb7fdd4fa5c	4	128	python_ast	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/src/moai_mcp_cafe24/_app.py	d6926ab913e5b225efca4fc5d8771818e0e54e3177813dd93d11d94911492650	33	1776	python_ast	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/src/moai_mcp_cafe24/_base.py	bb852bb2dc6775d9be3969c767e1285c5e761eb7bbd7407c3aa73ae4f654eada	189	7318	python_ast	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/src/moai_mcp_cafe24/auth.py	a44cf8392b93c783fa7b9b31e2c94558aee201c477e10b664bfc32ea0ce9bd67	83	3027	python_ast	-
plugins/moai-seller/mcp-servers/moai-mcp-cafe24/src/moai_mcp_cafe24/client.py	e2efed41d3fba1b9727fadf586cafd1c72ed71e55511a78571d7c6222c0396d1	313	12096	python_ast	-
